verb,noun,instruction
have,shelf,"A bookshelf has shelves of different heights. if the ratio of the sum of the fourth powers of two adjacent shelf heights is equal to 1, and the ratio of the sum of the squares of their lengths is also equal to 1, what is the sum of all possible values of the ratio of the third power to the second power of the other shelf height?"
have,garden,"You have a rectangular garden with an area of 480 square meters. if the length is twice the width, find the dimensions of the garden."
sell,total,"A bakery sells a total of 250 loaves of bread per day. they sell a combination of whole wheat and white bread. if they sell 20% more whole wheat bread than white bread, and they make $0.50 profit on each loaf of whole wheat bread and $0.30 profit on each loaf of white bread, how much money do they make in total from selling bread that day?"
sell,type,"A bakery sells two types of cookies, chocolate chip and oatmeal raisin. they have a special promotion where you can buy one dozen of each for $\$12$. if they sell 40 dozen chocolate chip cookies in a day, how many dozen of each type of cookie do they sell on average?"
hold,gallon,A water tank can hold $4500$ gallons of water. the tank is filled at a rate of $100$ gallons per minute and emptied at a rate of $50$ gallons per minute. what is the net rate of change of the amount of water in the tank (in gallons per minute)?
have,\frac{6}{7}$,Maria has $\frac{6}{7}$ of a pizza left over after eating $\frac{5}{14}$ of a pizza for breakfast. what fraction of the pizza does maria have left?
prefer,smoothie,"In a survey of 100 students, 60 students prefer milkshakes, 40 students prefer smoothies, and 20 students prefer juice. if the students who prefer each drink type do not overlap, which drink is most popular?"
hold,gallon,"A large water tank can hold 2400 gallons of water, and it is being filled at a rate of 20 gallons per minute. if the filling process starts at 8:00 am and takes exactly 6 hours to complete, what is the time when the tank is full?"
sell,loaf,"A bakery sells 250 loaves of bread per day, and each loaf costs $2.75. if the bakery operates for 7 days a week, what is the total weekly revenue from bread sales?"
travel,mile,A car travels 200 miles in 5 hours. what is its average speed in miles per hour?
experience,surge,"A shipping company is experiencing a surge in packages, and they need to package them in boxes of 16 units each. if they have 384 packages to ship, how many boxes can they fill?"
sell,total,A bakery sells a total of 480 muffins per day. they come in packs of 12 or 24. how many packs of each size do they sell per day?
save,money,Tom has been saving money for a new bike that costs $240. he already has $120 saved up. how many more dollars does he need to save each month to reach his goal in 6 months?
build,highway,A construction company is building a new highway and needs to fill in a trench that is 14 meters deep and 5 meters wide. the material used for filling the trench weighs 2800 kg per cubic meter. how many kilograms of material will be required to fill the trench?
sell,loaf,A bakery sells 240 loaves of bread per day. they make their bread using two recipes: one recipe makes 12 standard-sized loaves and another recipe makes 6 large loaves. how many large loaves can they make if each loaf costs $2.50.
save,money,"Tom has been saving money for a new bike and has $240 in his piggy bank. he plans to buy a bike that costs $480, but he also wants to make sure he has enough for some accessories costing $100. if he finds an even better deal on the bike and can get it for $300 less than the original price, what total amount of money will he have if he spends this much on the bike, plus the accessories?"
have,sale,"A bakery is having a sale on bread, where all loaves of whole wheat bread cost $2 less than the price of rye bread. during a promotional period, there were 120 loaves of whole wheat bread and 180 loaves of rye bread in stock. if the total revenue from selling these loaves was \$3,600, how much did each loaf of rye bread originally sell for?"
find,length,"In a rectangular garden with a perimeter of 36 meters, find the length of the side that faces east."
earn,money,"At a certain school, students can earn money by collecting cans of food to donate to a charity. each can earns $\$0.05$, but they have to pay$\$0.01$for every can they bring back unsorted (i.e., not put into a box). find the minimum number of cans needed so that the total amount of money earned will be at least twice the amount paid out."
sell,loaf,"A bakery sells 250 loaves of bread per day at $2 each, and 180 loaves per day at $3 each. what is the average price charged per loaf?"
have,sale,"A bakery is having a sale on bread, offering 15% off all loaves of whole grain bread that cost $2 each. if sarah buys 5 loaves of bread at this sale, how much will she pay in total?"
sell,variety,A bakery sells a variety of cakes and pastries in boxes containing 6 or 8 pieces each. how many different ways can you fill a box with an odd number of items if it must contain at least one piece of cake?
plan,day,"A school is planning a field day and has 50 chairs to be distributed among three groups of students. the first group gets an equal number of chairs as the total number of students in each group, while the second group gets twice as many chairs as the third group. if there are 15 students in the third group, how many students are in the first and second groups combined?"
save,money,Tom has been saving money for a new bike and has $\$240$. he plans to buy bikes that cost$\frac{p}{20}$ dollars each. how many bikes can he buy if he also wants to have at least $\$120$ left over?
save,money,"Maria and carlos have been saving money for a new bike, with maria having saved $x$ dollars and carlos having saved $y$ dollars. they want to spend their savings together on a bike that costs $\$$240. if they both save an additional amount equal to 50% of what they already have, how much more will maria save than carlos?"
